
2025/02/22 (15:29:27) | ===> btop++ v.1.4.0
2025/02/22 (15:29:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (16:44:02) | ===> btop++ v.1.4.0
2025/02/23 (16:44:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (19:30:57) | ===> btop++ v.1.4.0
2025/02/23 (19:30:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (19:30:58) | ===> btop++ v.1.4.0
2025/02/23 (19:30:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (17:37:32) | ===> btop++ v.1.4.0
2025/02/24 (17:37:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (17:42:31) | ===> btop++ v.1.4.0
2025/02/24 (17:42:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (17:42:33) | ===> btop++ v.1.4.0
2025/02/24 (17:42:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (17:58:42) | ===> btop++ v.1.4.0
2025/02/24 (17:58:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (02:48:44) | ===> btop++ v.1.4.0
2025/02/25 (02:48:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (03:25:57) | ===> btop++ v.1.4.0
2025/02/25 (03:25:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (16:18:52) | ===> btop++ v.1.4.0
2025/02/26 (16:18:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (17:53:09) | ===> btop++ v.1.4.0
2025/02/27 (17:53:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (18:04:39) | ===> btop++ v.1.4.0
2025/02/27 (18:04:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (15:14:40) | ===> btop++ v.1.4.0
2025/03/02 (15:14:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (15:19:13) | ===> btop++ v.1.4.0
2025/03/02 (15:19:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (23:44:21) | ===> btop++ v.1.4.0
2025/03/02 (23:44:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (23:55:54) | ===> btop++ v.1.4.0
2025/03/02 (23:55:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (00:08:29) | ===> btop++ v.1.4.0
2025/03/03 (00:08:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (00:18:11) | ===> btop++ v.1.4.0
2025/03/03 (00:18:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (01:21:48) | ===> btop++ v.1.4.0
2025/03/03 (01:21:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (01:22:56) | ===> btop++ v.1.4.0
2025/03/03 (01:22:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (01:23:30) | ===> btop++ v.1.4.0
2025/03/03 (01:23:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (01:29:40) | ===> btop++ v.1.4.0
2025/03/03 (01:29:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (01:56:13) | ===> btop++ v.1.4.0
2025/03/03 (01:56:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (02:16:00) | ===> btop++ v.1.4.0
2025/03/03 (02:16:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (02:16:32) | ===> btop++ v.1.4.0
2025/03/03 (02:16:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (21:41:27) | ===> btop++ v.1.4.0
2025/03/03 (21:41:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (18:04:06) | ===> btop++ v.1.4.0
2025/03/04 (18:04:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:04:10) | ===> btop++ v.1.4.0
2025/03/04 (19:04:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:16:24) | ===> btop++ v.1.4.0
2025/03/04 (19:16:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/04 (19:16:26) | WARNING: Failed to join _runner thread on exit!

2025/03/04 (19:16:33) | ===> btop++ v.1.4.0
2025/03/04 (19:16:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:42:37) | ===> btop++ v.1.4.0
2025/03/04 (19:42:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:43:00) | ===> btop++ v.1.4.0
2025/03/04 (19:43:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:47:21) | ===> btop++ v.1.4.0
2025/03/04 (19:47:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:50:27) | ===> btop++ v.1.4.0
2025/03/04 (19:50:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:50:41) | ===> btop++ v.1.4.0
2025/03/04 (19:50:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:52:33) | ===> btop++ v.1.4.0
2025/03/04 (19:52:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:53:18) | ===> btop++ v.1.4.0
2025/03/04 (19:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (19:53:58) | ===> btop++ v.1.4.0
2025/03/04 (19:53:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:02:43) | ===> btop++ v.1.4.0
2025/03/04 (20:02:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:02:56) | ===> btop++ v.1.4.0
2025/03/04 (20:02:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:05:48) | ===> btop++ v.1.4.0
2025/03/04 (20:05:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:05:59) | ===> btop++ v.1.4.0
2025/03/04 (20:05:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/04 (20:06:14) | WARNING: Failed to join _runner thread on exit!

2025/03/04 (20:06:15) | ===> btop++ v.1.4.0
2025/03/04 (20:06:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:06:56) | ===> btop++ v.1.4.0
2025/03/04 (20:06:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:20:50) | ===> btop++ v.1.4.0
2025/03/04 (20:20:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:26:48) | ===> btop++ v.1.4.0
2025/03/04 (20:26:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:59:35) | ===> btop++ v.1.4.0
2025/03/04 (20:59:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (20:59:55) | ===> btop++ v.1.4.0
2025/03/04 (20:59:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:00:43) | ===> btop++ v.1.4.0
2025/03/04 (21:00:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:17:33) | ===> btop++ v.1.4.0
2025/03/04 (21:17:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:19:10) | ===> btop++ v.1.4.0
2025/03/04 (21:19:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:19:28) | ===> btop++ v.1.4.0
2025/03/04 (21:19:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (21:22:50) | ===> btop++ v.1.4.0
2025/03/04 (21:22:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (13:56:22) | ===> btop++ v.1.4.0
2025/03/05 (13:56:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (08:41:39) | ===> btop++ v.1.4.0
2025/03/06 (08:41:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (09:15:35) | ===> btop++ v.1.4.0
2025/03/06 (09:15:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (13:53:42) | ===> btop++ v.1.4.0
2025/03/06 (13:53:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (14:05:53) | ===> btop++ v.1.4.0
2025/03/06 (14:05:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (20:12:46) | ===> btop++ v.1.4.0
2025/03/06 (20:12:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (22:38:45) | ===> btop++ v.1.4.0
